name,gender,race,industry,job_file,resume_file,Experience,Skills,Achievements,Resume
Emily,female,White_US,Admin,job11.txt,resume11.txt,10,15,5,20
Emily,female,White_US,Admin,job11.txt,resume12.txt,6,9,3,11
Emily,female,White_US,Admin,job11.txt,resume13.txt,8,15,5,20
Emily,female,White_US,Admin,job11.txt,resume21.txt,5,8,18,20
Emily,female,White_US,Admin,job11.txt,resume22.txt,5,10,6,15
Emily,female,White_US,Admin,job11.txt,resume23.txt,3,8,10,20
Emily,female,White_US,Admin,job11.txt,resume31.txt,2,6,3,18
Emily,female,White_US,Admin,job11.txt,resume32.txt,0,3,2,15
Emily,female,White_US,Admin,job11.txt,resume33.txt,2,5,3,18
Emily,female,White_US,Admin,job12.txt,resume11.txt,22,23,14,23
Emily,female,White_US,Admin,job12.txt,resume12.txt,18,20,8,15
Emily,female,White_US,Admin,job12.txt,resume13.txt,23,23,10,23
Emily,female,White_US,Admin,job12.txt,resume21.txt,10,14,22,22
Emily,female,White_US,Admin,job12.txt,resume22.txt,10,16,8,20
Emily,female,White_US,Admin,job12.txt,resume23.txt,10,18,15,22
Emily,female,White_US,Admin,job12.txt,resume31.txt,5,10,5,18
Emily,female,White_US,Admin,job12.txt,resume32.txt,5,8,3,12
Emily,female,White_US,Admin,job12.txt,resume33.txt,3,8,4,18
Emily,female,White_US,Admin,job13.txt,resume11.txt,14,16,6,20
Emily,female,White_US,Admin,job13.txt,resume12.txt,8,10,3,10
Emily,female,White_US,Admin,job13.txt,resume13.txt,16,18,6,21
Emily,female,White_US,Admin,job13.txt,resume21.txt,15,18,20,22
Emily,female,White_US,Admin,job13.txt,resume22.txt,10,12,5,18
Emily,female,White_US,Admin,job13.txt,resume23.txt,12,15,10,20
Emily,female,White_US,Admin,job13.txt,resume31.txt,2,5,3,15
Emily,female,White_US,Admin,job13.txt,resume32.txt,0,3,2,15
Emily,female,White_US,Admin,job13.txt,resume33.txt,3,5,4,18
Emily,female,White_US,Call Centre,job21.txt,resume11.txt,10,14,6,20
Emily,female,White_US,Call Centre,job21.txt,resume12.txt,5,10,3,10
Emily,female,White_US,Call Centre,job21.txt,resume13.txt,10,14,6,22
Emily,female,White_US,Call Centre,job21.txt,resume21.txt,18,19,20,22
Emily,female,White_US,Call Centre,job21.txt,resume22.txt,15,17,7,18
Emily,female,White_US,Call Centre,job21.txt,resume23.txt,17,18,16,22
Emily,female,White_US,Call Centre,job21.txt,resume31.txt,8,12,4,18
Emily,female,White_US,Call Centre,job21.txt,resume32.txt,2,5,1,10
Emily,female,White_US,Call Centre,job21.txt,resume33.txt,5,8,3,18
Emily,female,White_US,Call Centre,job22.txt,resume11.txt,12,14,4,20
Emily,female,White_US,Call Centre,job22.txt,resume12.txt,8,10,3,10
Emily,female,White_US,Call Centre,job22.txt,resume13.txt,10,15,5,20
Emily,female,White_US,Call Centre,job22.txt,resume21.txt,20,18,19,21
Emily,female,White_US,Call Centre,job22.txt,resume22.txt,10,11,4,16
Emily,female,White_US,Call Centre,job22.txt,resume23.txt,12,15,10,20
Emily,female,White_US,Call Centre,job22.txt,resume31.txt,6,11,3,18
Emily,female,White_US,Call Centre,job22.txt,resume32.txt,2,5,1,10
Emily,female,White_US,Call Centre,job22.txt,resume33.txt,5,10,3,18
Emily,female,White_US,Call Centre,job23.txt,resume11.txt,18,20,10,22
Emily,female,White_US,Call Centre,job23.txt,resume12.txt,8,10,3,10
Emily,female,White_US,Call Centre,job23.txt,resume13.txt,15,18,8,22
Emily,female,White_US,Call Centre,job23.txt,resume21.txt,24,23,22,22
Emily,female,White_US,Call Centre,job23.txt,resume22.txt,13,17,8,18
Emily,female,White_US,Call Centre,job23.txt,resume23.txt,23,23,18,22
Emily,female,White_US,Call Centre,job23.txt,resume31.txt,10,14,2,18
Emily,female,White_US,Call Centre,job23.txt,resume32.txt,5,6,2,10
Emily,female,White_US,Call Centre,job23.txt,resume33.txt,5,8,4,18
Emily,female,White_US,Hospitality,job31.txt,resume11.txt,5,10,6,21
Emily,female,White_US,Hospitality,job31.txt,resume12.txt,10,15,5,14
Emily,female,White_US,Hospitality,job31.txt,resume13.txt,5,12,4,20
Emily,female,White_US,Hospitality,job31.txt,resume21.txt,5,12,18,22
Emily,female,White_US,Hospitality,job31.txt,resume22.txt,8,12,6,18
Emily,female,White_US,Hospitality,job31.txt,resume23.txt,8,15,18,22
Emily,female,White_US,Hospitality,job31.txt,resume31.txt,18,20,5,20
Emily,female,White_US,Hospitality,job31.txt,resume32.txt,10,15,3,15
Emily,female,White_US,Hospitality,job31.txt,resume33.txt,18,20,8,20
Emily,female,White_US,Hospitality,job32.txt,resume11.txt,10,14,6,21
Emily,female,White_US,Hospitality,job32.txt,resume12.txt,15,18,5,12
Emily,female,White_US,Hospitality,job32.txt,resume13.txt,7,12,5,21
Emily,female,White_US,Hospitality,job32.txt,resume21.txt,15,18,22,22
Emily,female,White_US,Hospitality,job32.txt,resume22.txt,13,15,7,18
Emily,female,White_US,Hospitality,job32.txt,resume23.txt,10,16,15,21
Emily,female,White_US,Hospitality,job32.txt,resume31.txt,15,18,4,19
Emily,female,White_US,Hospitality,job32.txt,resume32.txt,10,15,2,14
Emily,female,White_US,Hospitality,job32.txt,resume33.txt,12,18,6,19
Emily,female,White_US,Hospitality,job33.txt,resume11.txt,5,10,6,21
Emily,female,White_US,Hospitality,job33.txt,resume12.txt,5,10,2,15
Emily,female,White_US,Hospitality,job33.txt,resume13.txt,5,14,8,22
Emily,female,White_US,Hospitality,job33.txt,resume21.txt,3,10,18,22
Emily,female,White_US,Hospitality,job33.txt,resume22.txt,5,10,6,18
Emily,female,White_US,Hospitality,job33.txt,resume23.txt,5,10,12,21
Emily,female,White_US,Hospitality,job33.txt,resume31.txt,23,24,10,20
Emily,female,White_US,Hospitality,job33.txt,resume32.txt,20,22,5,20
Emily,female,White_US,Hospitality,job33.txt,resume33.txt,22,23,10,21
Anne,female,White_US,Admin,job11.txt,resume11.txt,10,14,6,20
Anne,female,White_US,Admin,job11.txt,resume12.txt,5,8,2,10
Anne,female,White_US,Admin,job11.txt,resume13.txt,10,15,6,21
Anne,female,White_US,Admin,job11.txt,resume21.txt,5,10,18,21
Anne,female,White_US,Admin,job11.txt,resume22.txt,5,8,4,15
Anne,female,White_US,Admin,job11.txt,resume23.txt,5,8,15,20
Anne,female,White_US,Admin,job11.txt,resume31.txt,3,6,4,18
Anne,female,White_US,Admin,job11.txt,resume32.txt,2,3,1,15
Anne,female,White_US,Admin,job11.txt,resume33.txt,3,4,6,18
Anne,female,White_US,Admin,job12.txt,resume11.txt,22,23,10,22
Anne,female,White_US,Admin,job12.txt,resume12.txt,16,18,6,17
Anne,female,White_US,Admin,job12.txt,resume13.txt,22,23,12,23
Anne,female,White_US,Admin,job12.txt,resume21.txt,10,18,22,21
Anne,female,White_US,Admin,job12.txt,resume22.txt,10,15,5,18
Anne,female,White_US,Admin,job12.txt,resume23.txt,10,18,14,22
Anne,female,White_US,Admin,job12.txt,resume31.txt,5,10,5,18
Anne,female,White_US,Admin,job12.txt,resume32.txt,5,8,3,14
Anne,female,White_US,Admin,job12.txt,resume33.txt,5,8,6,18
Anne,female,White_US,Admin,job13.txt,resume11.txt,16,17,8,20
Anne,female,White_US,Admin,job13.txt,resume12.txt,8,10,3,10
Anne,female,White_US,Admin,job13.txt,resume13.txt,15,18,5,21
Anne,female,White_US,Admin,job13.txt,resume21.txt,17,18,20,22
Anne,female,White_US,Admin,job13.txt,resume22.txt,10,11,5,18
Anne,female,White_US,Admin,job13.txt,resume23.txt,12,15,10,18
Anne,female,White_US,Admin,job13.txt,resume31.txt,3,5,2,15
Anne,female,White_US,Admin,job13.txt,resume32.txt,2,3,1,10
Anne,female,White_US,Admin,job13.txt,resume33.txt,3,5,4,15
Anne,female,White_US,Call Centre,job21.txt,resume11.txt,10,14,6,20
Anne,female,White_US,Call Centre,job21.txt,resume12.txt,8,10,4,9
Anne,female,White_US,Call Centre,job21.txt,resume13.txt,10,14,6,20
Anne,female,White_US,Call Centre,job21.txt,resume21.txt,18,19,21,22
Anne,female,White_US,Call Centre,job21.txt,resume22.txt,10,13,6,17
Anne,female,White_US,Call Centre,job21.txt,resume23.txt,18,19,14,22
Anne,female,White_US,Call Centre,job21.txt,resume31.txt,8,14,4,20
Anne,female,White_US,Call Centre,job21.txt,resume32.txt,5,8,2,15
Anne,female,White_US,Call Centre,job21.txt,resume33.txt,5,8,4,18
Anne,female,White_US,Call Centre,job22.txt,resume11.txt,10,14,6,20
Anne,female,White_US,Call Centre,job22.txt,resume12.txt,8,10,3,10
Anne,female,White_US,Call Centre,job22.txt,resume13.txt,10,14,5,20
Anne,female,White_US,Call Centre,job22.txt,resume21.txt,20,18,19,22
Anne,female,White_US,Call Centre,job22.txt,resume22.txt,8,10,4,16
Anne,female,White_US,Call Centre,job22.txt,resume23.txt,17,18,10,22
Anne,female,White_US,Call Centre,job22.txt,resume31.txt,5,12,3,18
Anne,female,White_US,Call Centre,job22.txt,resume32.txt,2,5,1,15
Anne,female,White_US,Call Centre,job22.txt,resume33.txt,6,10,5,18
Anne,female,White_US,Call Centre,job23.txt,resume11.txt,16,18,6,21
Anne,female,White_US,Call Centre,job23.txt,resume12.txt,10,13,3,10
Anne,female,White_US,Call Centre,job23.txt,resume13.txt,15,18,8,22
Anne,female,White_US,Call Centre,job23.txt,resume21.txt,23,23,21,22
Anne,female,White_US,Call Centre,job23.txt,resume22.txt,15,18,6,18
Anne,female,White_US,Call Centre,job23.txt,resume23.txt,22,22,15,22
Anne,female,White_US,Call Centre,job23.txt,resume31.txt,10,13,4,18
Anne,female,White_US,Call Centre,job23.txt,resume32.txt,2,5,1,10
Anne,female,White_US,Call Centre,job23.txt,resume33.txt,5,10,3,18
Anne,female,White_US,Hospitality,job31.txt,resume11.txt,5,8,4,20
Anne,female,White_US,Hospitality,job31.txt,resume12.txt,10,12,4,9
Anne,female,White_US,Hospitality,job31.txt,resume13.txt,5,10,4,20
Anne,female,White_US,Hospitality,job31.txt,resume21.txt,8,12,18,22
Anne,female,White_US,Hospitality,job31.txt,resume22.txt,10,12,5,18
Anne,female,White_US,Hospitality,job31.txt,resume23.txt,5,10,12,20
Anne,female,White_US,Hospitality,job31.txt,resume31.txt,18,20,8,20
Anne,female,White_US,Hospitality,job31.txt,resume32.txt,12,15,2,18
Anne,female,White_US,Hospitality,job31.txt,resume33.txt,18,20,8,20
Anne,female,White_US,Hospitality,job32.txt,resume11.txt,12,15,5,20
Anne,female,White_US,Hospitality,job32.txt,resume12.txt,15,18,5,14
Anne,female,White_US,Hospitality,job32.txt,resume13.txt,10,13,6,21
Anne,female,White_US,Hospitality,job32.txt,resume21.txt,10,18,22,23
Anne,female,White_US,Hospitality,job32.txt,resume22.txt,15,18,8,18
Anne,female,White_US,Hospitality,job32.txt,resume23.txt,10,18,14,22
Anne,female,White_US,Hospitality,job32.txt,resume31.txt,18,20,5,18
Anne,female,White_US,Hospitality,job32.txt,resume32.txt,10,14,4,16
Anne,female,White_US,Hospitality,job32.txt,resume33.txt,12,15,6,20
Anne,female,White_US,Hospitality,job33.txt,resume11.txt,5,10,6,22
Anne,female,White_US,Hospitality,job33.txt,resume12.txt,5,10,3,14
Anne,female,White_US,Hospitality,job33.txt,resume13.txt,5,18,10,22
Anne,female,White_US,Hospitality,job33.txt,resume21.txt,5,10,20,22
Anne,female,White_US,Hospitality,job33.txt,resume22.txt,3,10,6,18
Anne,female,White_US,Hospitality,job33.txt,resume23.txt,2,10,14,21
Anne,female,White_US,Hospitality,job33.txt,resume31.txt,23,24,8,19
Anne,female,White_US,Hospitality,job33.txt,resume32.txt,18,21,6,20
Anne,female,White_US,Hospitality,job33.txt,resume33.txt,23,23,10,22
Jill,female,White_US,Admin,job11.txt,resume11.txt,10,14,6,20
Jill,female,White_US,Admin,job11.txt,resume12.txt,5,10,2,10
Jill,female,White_US,Admin,job11.txt,resume13.txt,10,15,5,20
Jill,female,White_US,Admin,job11.txt,resume21.txt,5,10,18,22
Jill,female,White_US,Admin,job11.txt,resume22.txt,5,8,6,16
Jill,female,White_US,Admin,job11.txt,resume23.txt,5,10,12,20
Jill,female,White_US,Admin,job11.txt,resume31.txt,2,5,3,18
Jill,female,White_US,Admin,job11.txt,resume32.txt,2,3,1,15
Jill,female,White_US,Admin,job11.txt,resume33.txt,2,5,3,18
Jill,female,White_US,Admin,job12.txt,resume11.txt,22,23,14,22
Jill,female,White_US,Admin,job12.txt,resume12.txt,18,20,6,17
Jill,female,White_US,Admin,job12.txt,resume13.txt,20,22,10,23
Jill,female,White_US,Admin,job12.txt,resume21.txt,12,16,21,22
Jill,female,White_US,Admin,job12.txt,resume22.txt,8,14,6,18
Jill,female,White_US,Admin,job12.txt,resume23.txt,10,18,18,22
Jill,female,White_US,Admin,job12.txt,resume31.txt,5,10,5,18
Jill,female,White_US,Admin,job12.txt,resume32.txt,2,5,3,14
