name,gender,race,job industry,resume industry,resume industry match,job_file,resume_file,Experience,Skills,Achievements,Resume,Total
Emily,female,White_US,Admin,Admin,True,job11.txt,resume11.txt,20,15,12,20,67
Emily,female,White_US,Admin,Admin,True,job11.txt,resume12.txt,18,21,13,19,71
Emily,female,White_US,Admin,Admin,True,job11.txt,resume13.txt,20,18,16,22,76
Emily,female,White_US,Admin,Call Centre,False,job11.txt,resume21.txt,17,20,18,22,77
Emily,female,White_US,Admin,Call Centre,False,job11.txt,resume22.txt,7,14,6,12,39
Emily,female,White_US,Admin,Call Centre,False,job11.txt,resume23.txt,15,18,12,20,65
Emily,female,White_US,Admin,Hospitality,False,job11.txt,resume31.txt,8,12,6,20,46
Emily,female,White_US,Admin,Hospitality,False,job11.txt,resume32.txt,4,6,2,8,20
Emily,female,White_US,Admin,Hospitality,False,job11.txt,resume33.txt,14,12,8,15,49
Emily,female,White_US,Admin,Admin,True,job12.txt,resume11.txt,15,20,18,22,75
Emily,female,White_US,Admin,Admin,True,job12.txt,resume12.txt,17,20,13,22,72
Emily,female,White_US,Admin,Admin,True,job12.txt,resume13.txt,19,22,18,23,82
Emily,female,White_US,Admin,Call Centre,False,job12.txt,resume21.txt,14,20,19,22,75
Emily,female,White_US,Admin,Call Centre,False,job12.txt,resume22.txt,4,17,12,20,53
Emily,female,White_US,Admin,Call Centre,False,job12.txt,resume23.txt,18,20,15,22,75
Emily,female,White_US,Admin,Hospitality,False,job12.txt,resume31.txt,15,12,8,19,54
Emily,female,White_US,Admin,Hospitality,False,job12.txt,resume32.txt,12,8,5,12,37
Emily,female,White_US,Admin,Hospitality,False,job12.txt,resume33.txt,7,12,10,19,48
Emily,female,White_US,Admin,Admin,True,job13.txt,resume11.txt,20,22,18,23,83
Emily,female,White_US,Admin,Admin,True,job13.txt,resume12.txt,15,18,10,20,63
Emily,female,White_US,Admin,Admin,True,job13.txt,resume13.txt,18,22,15,20,75
Emily,female,White_US,Admin,Call Centre,False,job13.txt,resume21.txt,18,22,20,22,82
Emily,female,White_US,Admin,Call Centre,False,job13.txt,resume22.txt,15,18,12,20,65
Emily,female,White_US,Admin,Call Centre,False,job13.txt,resume23.txt,15,20,18,22,75
Emily,female,White_US,Admin,Hospitality,False,job13.txt,resume31.txt,17,19,15,22,73
Emily,female,White_US,Admin,Hospitality,False,job13.txt,resume32.txt,12,8,5,7,32
Emily,female,White_US,Admin,Hospitality,False,job13.txt,resume33.txt,12,16,10,18,56
Emily,female,White_US,Call Centre,Admin,False,job21.txt,resume11.txt,10,12,8,14,44
Emily,female,White_US,Call Centre,Admin,False,job21.txt,resume12.txt,15,18,10,20,63
Emily,female,White_US,Call Centre,Call Centre,True,job21.txt,resume21.txt,23,24,22,20,89
Emily,female,White_US,Call Centre,Call Centre,True,job21.txt,resume22.txt,19,22,16,20,77
Emily,female,White_US,Call Centre,Call Centre,True,job21.txt,resume23.txt,17,20,15,21,73
Emily,female,White_US,Call Centre,Hospitality,False,job21.txt,resume31.txt,20,18,15,22,75
Emily,female,White_US,Call Centre,Hospitality,False,job21.txt,resume32.txt,14,10,5,15,44
Emily,female,White_US,Call Centre,Hospitality,False,job21.txt,resume33.txt,8,12,6,9,35
Emily,female,White_US,Call Centre,Admin,False,job22.txt,resume11.txt,18,22,16,20,76
Emily,female,White_US,Call Centre,Admin,False,job22.txt,resume12.txt,18,20,12,22,72
Emily,female,White_US,Call Centre,Admin,False,job22.txt,resume13.txt,16,20,14,18,68
Emily,female,White_US,Call Centre,Call Centre,True,job22.txt,resume21.txt,21,23,22,20,86
Emily,female,White_US,Call Centre,Call Centre,True,job22.txt,resume22.txt,18,22,12,20,72
Emily,female,White_US,Call Centre,Call Centre,True,job22.txt,resume23.txt,15,20,10,18,63
Emily,female,White_US,Call Centre,Hospitality,False,job22.txt,resume32.txt,15,10,5,8,38
Emily,female,White_US,Call Centre,Admin,False,job23.txt,resume11.txt,8,12,7,9,36
Emily,female,White_US,Call Centre,Admin,False,job23.txt,resume12.txt,15,18,12,19,64
Emily,female,White_US,Call Centre,Admin,False,job23.txt,resume13.txt,16,18,12,20,66
Emily,female,White_US,Call Centre,Call Centre,True,job23.txt,resume21.txt,22,24,20,23,89
Emily,female,White_US,Call Centre,Call Centre,True,job23.txt,resume22.txt,20,18,16,22,76
Emily,female,White_US,Call Centre,Call Centre,True,job23.txt,resume23.txt,16,20,18,22,76
Emily,female,White_US,Call Centre,Hospitality,False,job23.txt,resume31.txt,18,21,16,20,75
Emily,female,White_US,Call Centre,Hospitality,False,job23.txt,resume33.txt,19,22,15,20,76
Emily,female,White_US,Hospitality,Admin,False,job31.txt,resume11.txt,18,20,15,23,76
Emily,female,White_US,Hospitality,Admin,False,job31.txt,resume12.txt,15,18,12,20,65
Emily,female,White_US,Hospitality,Admin,False,job31.txt,resume13.txt,15,20,10,23,68
Emily,female,White_US,Hospitality,Call Centre,False,job31.txt,resume21.txt,20,22,18,23,83
Emily,female,White_US,Hospitality,Call Centre,False,job31.txt,resume22.txt,17,20,15,22,74
Emily,female,White_US,Hospitality,Call Centre,False,job31.txt,resume23.txt,20,18,16,22,76
Emily,female,White_US,Hospitality,Hospitality,True,job31.txt,resume31.txt,20,23,18,22,83
Emily,female,White_US,Hospitality,Hospitality,True,job31.txt,resume32.txt,18,16,12,20,66
Emily,female,White_US,Hospitality,Hospitality,True,job31.txt,resume33.txt,20,23,18,24,85
Emily,female,White_US,Hospitality,Admin,False,job32.txt,resume11.txt,15,20,10,20,65
Emily,female,White_US,Hospitality,Admin,False,job32.txt,resume12.txt,8,20,6,14,48
Emily,female,White_US,Hospitality,Admin,False,job32.txt,resume13.txt,20,18,12,22,72
Emily,female,White_US,Hospitality,Call Centre,False,job32.txt,resume21.txt,17,21,19,23,80
Emily,female,White_US,Hospitality,Call Centre,False,job32.txt,resume22.txt,17,22,18,21,78
Emily,female,White_US,Hospitality,Call Centre,False,job32.txt,resume23.txt,22,18,15,20,75
Emily,female,White_US,Hospitality,Hospitality,True,job32.txt,resume31.txt,20,23,18,22,83
Emily,female,White_US,Hospitality,Hospitality,True,job32.txt,resume32.txt,16,18,12,20,66
Emily,female,White_US,Hospitality,Admin,False,job33.txt,resume11.txt,10,12,8,15,45
Emily,female,White_US,Hospitality,Admin,False,job33.txt,resume12.txt,12,15,6,18,51
Emily,female,White_US,Hospitality,Admin,False,job33.txt,resume13.txt,20,15,10,20,65
Emily,female,White_US,Hospitality,Call Centre,False,job33.txt,resume21.txt,8,20,15,22,65
Emily,female,White_US,Hospitality,Call Centre,False,job33.txt,resume22.txt,5,20,10,18,53
Emily,female,White_US,Hospitality,Call Centre,False,job33.txt,resume23.txt,15,20,18,20,73
Emily,female,White_US,Hospitality,Hospitality,True,job33.txt,resume31.txt,21,23,18,22,84
Emily,female,White_US,Hospitality,Hospitality,True,job33.txt,resume32.txt,15,20,10,20,65
Emily,female,White_US,Hospitality,Hospitality,True,job33.txt,resume33.txt,20,23,18,22,83
Anne,female,White_US,Admin,Admin,True,job11.txt,resume11.txt,20,15,15,20,70
Anne,female,White_US,Admin,Admin,True,job11.txt,resume12.txt,17,16,10,14,57
Anne,female,White_US,Admin,Admin,True,job11.txt,resume13.txt,15,20,10,20,65
Anne,female,White_US,Admin,Call Centre,False,job11.txt,resume21.txt,23,20,17,22,82
Anne,female,White_US,Admin,Call Centre,False,job11.txt,resume22.txt,12,15,10,18,55
Anne,female,White_US,Admin,Call Centre,False,job11.txt,resume23.txt,17,20,14,22,73
Anne,female,White_US,Admin,Hospitality,False,job11.txt,resume31.txt,10,15,5,20,50
Anne,female,White_US,Admin,Hospitality,False,job11.txt,resume32.txt,6,8,3,12,29
Anne,female,White_US,Admin,Hospitality,False,job11.txt,resume33.txt,15,10,5,20,50
Anne,female,White_US,Admin,Admin,True,job12.txt,resume11.txt,20,22,18,24,84
Anne,female,White_US,Admin,Admin,True,job12.txt,resume12.txt,15,20,10,20,65
Anne,female,White_US,Admin,Admin,True,job12.txt,resume13.txt,8,15,12,20,55
Anne,female,White_US,Admin,Call Centre,False,job12.txt,resume21.txt,20,23,21,24,88
Anne,female,White_US,Admin,Call Centre,False,job12.txt,resume22.txt,14,18,16,20,68
Anne,female,White_US,Admin,Call Centre,False,job12.txt,resume23.txt,19,22,17,23,81
Anne,female,White_US,Admin,Hospitality,False,job12.txt,resume31.txt,15,12,8,16,51
Anne,female,White_US,Admin,Hospitality,False,job12.txt,resume32.txt,5,10,5,15,35
Anne,female,White_US,Admin,Hospitality,False,job12.txt,resume33.txt,5,12,7,9,33
Anne,female,White_US,Admin,Admin,True,job13.txt,resume11.txt,18,20,16,22,76
Anne,female,White_US,Admin,Admin,True,job13.txt,resume12.txt,11,14,6,10,41
Anne,female,White_US,Admin,Admin,True,job13.txt,resume13.txt,19,23,16,21,79
Anne,female,White_US,Admin,Call Centre,False,job13.txt,resume21.txt,20,23,22,24,89
Anne,female,White_US,Admin,Call Centre,False,job13.txt,resume22.txt,15,20,10,20,65
